File YT34to10__06800-06900: Chi2 = 9935.6988638848, p = 0.0, N = 583573768
File YT34to10__06900-07000: Chi2 = 2420.9569829916413, p = 0.0, N = 586513966
File YT34to10__07000-07100: Chi2 = 8636.885056215193, p = 0.0, N = 592677766
File YT34to10__07100-07200: Chi2 = 22825.941355437295, p = 0.0, N = 600090247
File YT34to10__07200-07300: Chi2 = 29486.208226290284, p = 0.0, N = 606686392
File YT34to10__07300-07400: Chi2 = 24425.998919260266, p = 0.0, N = 610411958
File YT34to10__07400-07500: Chi2 = 21823.238012191792, p = 0.0, N = 609491126
File YT34to10__07500-07600: Chi2 = 19446.79506675159, p = 0.0, N = 603106557
File YT34to10__07600-07700: Chi2 = 17381.44107056831, p = 0.0, N = 591198114
File YT34to10__07700-07800: Chi2 = 12125.996616596116, p = 0.0, N = 574582779
File YT34to10__07800-07900: Chi2 = 6820.141026206703, p = 0.0, N = 554904159
File YT34to10__07900-08000: Chi2 = 1573.6479653818951, p = 0.0, N = 533828809
File YT34to10__08000-08100: Chi2 = 1731.6419975997774, p = 0.0, N = 502948186
File YT34to10__08100-08200: Chi2 = 2339.900646648639, p = 0.0, N = 465506196
File YT34to10__08200-08300: Chi2 = 3987.915840310835, p = 0.0, N = 433081813
File YT34to10__08300-08400: Chi2 = 5503.8663641007315, p = 0.0, N = 406415938
File YT34to10__08400-08500: Chi2 = 5675.650739735347, p = 0.0, N = 384587332
File YT34to10__08500-08600: Chi2 = 4578.76524044481, p = 0.0, N = 366989861
File YT34to10__08600-08700: Chi2 = 6395.57183417322, p = 0.0, N = 351439400
File YT34to10__08700-08800: Chi2 = 10013.155752954628, p = 0.0, N = 336840864
File YT34to10__08800-08900: Chi2 = 10719.208566585821, p = 0.0, N = 322303301
File YT34to10__08900-09000: Chi2 = 8526.939376528544, p = 0.0, N = 305742408
File YT34to10__09000-09100: Chi2 = 3567.811040155704, p = 0.0, N = 287220321
File YT34to10__09100-09200: Chi2 = 2008.8537020685176, p = 0.0, N = 267580419
File YT34to10__09200-09300: Chi2 = 2570.0323906899066, p = 0.0, N = 246259944
File YT34to10__09300-09400: Chi2 = 2362.2751803581623, p = 0.0, N = 224696955
File YT34to10__09400-09500: Chi2 = 1856.6524935817192, p = 0.0, N = 204571639
File YT34to10__09500-09600: Chi2 = 3078.628758060407, p = 0.0, N = 186068285
File YT34to10__09600-09700: Chi2 = 3877.9592126521757, p = 0.0, N = 169824118
File YT34to10__09700-09800: Chi2 = 4019.69366196415, p = 0.0, N = 156727724
File YT34to10__09800-09900: Chi2 = 3750.4615950672596, p = 0.0, N = 146255673
File YT34to10__09900-10000: Chi2 = 3156.4986992904287, p = 0.0, N = 138133301
File YT34to10__10000-10100: Chi2 = 2959.056399523162, p = 0.0, N = 129873479
File YT34to10__10100-10200: Chi2 = 4749.7812691145, p = 0.0, N = 124002011
File YT34to10__10200-10300: Chi2 = 5530.630048725693, p = 0.0, N = 118694873
File YT34to10__10300-10400: Chi2 = 4259.518388729204, p = 0.0, N = 112466840
